"Anthony Casado","Adams-Normandie HPOZ","Animal shelter pickup-stray pitbulls","Recommendations","18 Mar","FYI, there are two pitbulls wandering the area right now without a leash and seem to be stray. Have been seen on Kenwood between Jefferson and 29th. Please call LA Animal Services and report the dogs as aggressive at this time. Not that they are, yet, but because of quarantine they are only picking up animals if they are aggressive or injured. They just straight up refused my request when I initially said they weren't. Even though they are still pitbulls so we are all weary. You can call 888-452-7381.","6"
"Margarita Sinegovskaia","Harvard Heights","masks and gloves","Crime & Safety","4 days ago","I ordered masks and gloves through this website ","0"
"Keyla Naomi","Pico-Union Central","$1 masks","General","4 days ago","Support this small business if you know someone who might need a mask. Thanks!","1"
"Daisy Castaneda","West University","Covid-19, Covered Ca,  Special Enrollment","General","3 days ago","No Content","1"
"Diana B Jurado-Ecker","Harvard Heights","List of resources and information for Covid-19","General","5 days ago","Hello all. I started an informational website for filming in Harvard Heights but as my involvement with the neighborhood association continues to grow, I have offered to include other pages about things that affect our residents. I have opened this post up to surrounding areas so that as many people get the information that is needed.  There are a few links and resources available about COVID-19 or Coronavirus. Please send me a message here or through the website if there's anything that I've left out. Please include descriptions and information. 

","1"
"Kathy Magana","West Adams","Looking for a metal welder for front porch handrail","Recommendations","18 Mar","My elderly inlaws are in desperate need of a metal front porch handrail... any recommendations? Looking to getting it done ASAP.","2"
"Ruben Garcia","West Adams","Disposable flu masks Thursday","General","14 Mar","Hi. I ordered 100 disposable mask today . They’ll be here Thursday. If you need one please do not hesitate to ask. Community is important. Baby Trump daddy house. Ruben","3"
"Daisy Castaneda","West University","City Council meeting date","General","3 days ago","Hi Neighbors, does any one from exposition park district know the date for the next city council meeting? Or the city council plans for supporting our community thru corona virus?  I would really like to learn how our community leaders are planning a relief campaign for when the number of corona virus grows in our local communities.","0"
"Monah Xu","University Park West","Keep eyes out. Stay Aware.","Crime & Safety","18 Mar","I’m not sure if this is truly a thing, but either way practice keeping doors locks consistently. Stay calm and safe my friends.","1"
"Alesone MacCormack","West Adams","Dogs, pets and Covid-19","No Category","16 Mar","Good morning, neighbours!
Falcor and Vahla would like to remind you Covid-19 is not contractable or able to be caught by your pets. 
Chosen2Serve will still be offering walks, Daycare and private lessons (done in your yard or building courtyard so not to go into your residence during this pandemic)
Regardless of what is happening in the human world, dogs still need walked and trained. The area for Doggie Daycare gets bleached and sanitised twice a day or as needed. Hands get washed with hot water and soap for at least 30 seconds and dog paws get wiped with sanitising wipes and fur gets wiped down with a baby wipe. 
Also, I will do emergency board and train if you must go anywhere due to work because of our current pandemic or (please gods, no) need you to be hospitalised. 
If you are elderly or immune deficient, please message me, I will walk your pups, clean up the waste in your yard or clean the kitty litter pan (if you put it outside your door with scoop, bag and clean litter) you are now my Auntie/Uncle/Grandparent and I will do what I can to help you. 
My mobile is (352) 613-5580","0"
"Melissa Conley","West Adams Hts-Sugar Hill","WSFM will be open Sunday","No Category","6 days ago","Wellington Square Farmers Market (4394 W. Washington Blvd) will be open with limited vendors Sunday 9-1. All farmers will be there. Restore Blendz juices, Brothers Hummus and dips, Market Bakery, Dough She Didn’t Bakery and Quality Mutt Coffee will be there. Restore Blendz, market bakery and Dough She Didn’t will be taking prepaid orders. You can find Restore Blendz and Dough She Didn’t (chocolate chip and oatmeal apricot cookies, banana bread) through FB and IG. If you don’t use social media send me a message and I’ll get you to them. Market Bakery can order breads, bagels, baguettes and others. Please let me know if you are in need of any of these items.
Farmers will have eggs, fruits and veggies and honey. 
We are letting in a limited number at a time as to keep everyone safe and healthy. Please refrain from coming if you are under the weather or in a vulnerable state. 
If you have any spare hand sanitizer we could really use some extra. Message me directly with that or any questions. 
Stay healthy and safe.","0"
"Melissa Conley","West Adams Hts-Sugar Hill","Wellington Square Farmers Market open next Sunday","General","15 Mar","Due to an overwhelming response we will be open next week from 9-1 with a limited market. All of our farmers will be there as well as Quality Mutt Coffee, Brother Products(hummus and dips), Dough She Didn’t (cookies and treats), Restore Blendz Juices, and the market bakery (limited supplies).
We will provide a safe and healthy alternative to the regular market. Please refrain from coming if you are under the weather in any way as to keep everyone healthy and safe. 
I will have an update in a few days about possible egg sales mid week. Please look for future posts. Take care and stay healthy❤️","3"
"Ruben Garcia","West Adams","Mask materials donations requested","General","3 days ago","Ruben and Chris donating to neighbor to make mask for hospitals","17"
